osmid,highway,oneway,reversed,length,lanes,maxspeed,ref,name,bridge,access,junction,geometry_wkt
23947601,primary,False,False,151.97441795652855,2,60,C41,Malakia Nakuumba Road,,,,"LINESTRING (572751.6435347983 8034101.617325975, 572601.8728326949 8034075.03532285)"
23948560,unclassified,False,True,53.57590559447247,,60,,Eliander Mwatale Street,,,,"LINESTRING (572751.6435347983 8034101.617325975, 572762.1159685286 8034049.33405066)"
23947601,primary,False,True,364.83548399924763,2,60,C41,Malakia Nakuumba Road,,,,"LINESTRING (572751.6435347983 8034101.617325975, 572842.6057804457 8034119.695135945, 573109.6199709438 8034173.615770506)"
23948560,unclassified,False,False,138.76847154560056,,60,,Eliander Mwatale Street,,,,"LINESTRING (572751.6435347983 8034101.617325975, 572739.1953189682 8034164.374511376, 572735.9917368304 8034184.025108877, 572734.7540871163 8034196.321914884, 572735.6658966683 8034210.867948277, 572739.7396007893 8034237.83853147)"
23948560,unclassified,False,False,12.869967931795118,,60,,Eliander Mwatale Street,,,,"LINESTRING (573197.1109397094 8035074.602890764, 573207.8647425063 8035081.65545593)"
23948560,unclassified,False,True,29.876747957506613,,60,,Eliander Mwatale Street,,,,"LINESTRING (573197.1109397094 8035074.602890764, 573172.5082785853 8035057.698829154)"
709656228,primary,True,False,233.03434144796117,,60,C46,Dr Agostinho Neto Street,,,,"LINESTRING (573197.1109397094 8035074.602890764, 573134.0675454309 8035157.882264017, 573120.7519270843 8035171.993740228, 573098.025659771 8035198.40992614, 573045.328268472 8035250.05174798)"
666002110,primary,False,True,662.5885850689526,2,120,B1,,,,,"LINESTRING (602935.1881796335 8026425.940683097, 603150.3725629762 8025802.246285586)"
1415204787,unclassified,False,True,8336.867281796596,,,,,,,,"LINESTRING (602935.1881796335 8026425.940683097, 603074.1284775558 8026473.70512476, 603233.1399599722 8026535.682198779, 603258.3317359505 8026548.430602068, 603295.0969025536 8026563.497609883, 603333.8344114426 8026576.772790441, 603361.7460281855 8026576.627162124, 603370.7369370186 8026579.556742184, 603463.0923668843 8026628.811967409, 603483.1015932455 8026641.387996159, 603500.4044266873 8026671.416670039, 603511.2035772182 8026679.681162227, 603523.2107640597 8026687.939335782, 603531.2646430169 8026702.160098155, 603562.8928133486 8026727.754217821, 603624.8568751868 8026758.744286078, 603654.8522056387 8026776.025888214, 603690.3636432121 8026780.199678397, 603715.1357008629 8026789.574886035, 603766.7282494395 8026819.036525198, 603809.8495217212 8026831.49117114, 603850.5470681856 8026836.423124631, 603891.7409136512 8026859.20033959, 603947.0195782724 8026908.44866681, 604034.0548734108 8027005.486119539, 604102.04654466 8027120.4491173085, 604116.8704471863 8027134.246821086, 604155.2425522155 8027152.269316715, 604188.3786858346 8027160.028760097, 604208.370010796 8027171.021895439, 604239.2237939609 8027200.182040857, 604262.8722076105 8027223.438114209, 604284.7203632421 8027283.174110599, 604304.9435487455 8027336.168947027, 604327.9391460945 8027388.363550668, 604351.631695527 8027419.940233976, 604370.8787033912 8027440.453103835, 604383.8255182193 8027476.047640525, 604405.9328748032 8027508.429301813, 604494.0533497519 8027585.254412835, 604531.352718716 8027624.692817638, 604549.4276563044 8027649.958630926, 604630.2472504053 8027702.6334443195, 604731.1623050588 8027783.74968289, 604840.815089449 8027857.68225702, 604897.9213413273 8027874.818702122, 604939.1101624919 8027896.000562437, 605006.6670567415 8027927.344273711, 605082.04502105 8028006.613467158, 605127.827645285 8028066.609072018, 605152.2393168239 8028083.519839063, 605181.7680590855 8028088.121178606, 605242.4363336051 8028099.295828437, 605297.1381944865 8028112.4826396415, 605502.1496022027 8028197.39062794, 605524.1372653083 8028206.789593492, 605561.2266828526 8028208.174454687, 605603.8398667937 8028198.044247536, 605635.6457111028 8028180.436198202, 605681.7478110542 8028150.856901354, 605798.5297912942 8028066.216640383, 605911.3133667746 8027979.206926396, 605922.3941805931 8027964.4864423955, 605928.6933897561 8027949.393159329, 605904.4424343447 8027887.2925268, 605868.2975796734 8027765.027975332, 605858.9784475508 8027736.540815519, 605836.5270460085 8027713.66740345, 605759.3724894153 8027677.2213525055, 605685.4883177548 8027655.817194075, 605587.4228835356 8027660.69952481, 605570.6770766922 8027660.401450663, 605560.6564520679 8027651.337175195, 605561.1235699995 8027514.204803116, 605549.3023455114 8027465.514896641, 605523.9864894486 8027429.986869842, 605486.8057073273 8027411.163898163, 605442.0922441981 8027400.690836872, 605408.4976769518 8027382.645330834, 605395.2222001133 8027361.316027993, 605383.882114951 8027327.284749576, 605364.2061758635 8027302.028158619, 605342.5064447221 8027270.840348257, 605333.6478362108 8027253.050492234, 605328.7610273993 8027234.841177086, 605307.9067847438 8027211.173110545, 605251.3062248685 8027141.332154417, 605242.0534690428 8027125.12666663, 605241.1450306734 8027103.731583053, 605249.6561271566 8027056.12855985, 605247.3018287076 8026987.980025839, 605227.7006627341 8026900.891120697, 605199.1950191965 8026789.284953435, 605171.7495564604 8026725.618222296, 605140.956861589 8026634.24007418, 605120.4177175347 8026595.908910006, 605105.1698465879 8026576.172221893, 605099.088065161 8026558.367544461, 605098.9703529224 8026536.182635205, 605105.929771293 8026495.713814809, 605109.6051142028 8026435.466943052, 605110.28725861 8026338.367016293, 605128.2238408574 8026263.759381584, 605156.4165107381 8026166.922781695, 605186.6978261219 8026086.307542002, 605211.8077413149 8026009.6920890175, 605245.5777565087 8025837.91482566, 605258.7996949286 8025775.625388976, 605276.8236957864 8025715.689401999, 605268.7901871696 8025629.745080229, 605269.9116628328 8025615.465113371, 605274.6211280581 8025600.391508842, 605274.4841532974 8025574.632638548, 605265.497653407 8025534.646819927, 605231.0023755655 8025420.306224145, 605221.4365063073 8025347.050651713, 605210.8629012521 8025307.471592541, 605187.527556515 8025267.174726367, 605142.5623267606 8025208.370149244, 605085.5293172334 8025129.811929886, 605009.5213634011 8025007.76875481, 604945.2509863148 8024916.977366099, 604889.7255930139 8024896.6574234255, 604819.4992649728 8024885.532854773, 604743.7855597202 8024892.67238744, 604695.6183283315 8024907.190191182, 604651.879651994 8024929.618137357, 604625.6121163 8024937.6796387555, 604543.0624380764 8024934.552915247, 604442.9432719208 8024925.178276425, 604409.8336991828 8024921.7789562885, 604380.7543589522 8024925.108035012, 604351.7019882787 8024935.562850966, 604330.2443821158 8024949.540547584, 604310.3846752503 8024963.122518791, 604239.9500418687 8024988.854824554, 604211.6838696578 8024997.722975873, 604185.3722933349 8024997.463160692, 604162.2855331186 8025003.924978615, 604145.187336221 8025012.734251099, 604119.712113172 8025020.392550412, 603992.1129258573 8025018.297149869)"
28156752,tertiary,False,True,10231.438946372546,1,100,,,,,,"LINESTRING (589577.9015369752 8037750.692071596, 589635.5592822715 8038007.948760057, 589629.2040712207 8038127.252988025, 589591.7525429612 8038334.217403043, 589533.802874528 8038439.258822698, 589412.5055046933 8038557.308440236, 589371.5660147222 8038625.538797237, 589363.5318371285 8038654.563847633, 589367.69746834 8038732.328736229, 589370.0728742378 8038786.810836162, 589389.3625482742 8038808.709563203, 589462.4924652352 8038832.491168879, 589501.5565537717 8038856.646741355, 589516.4656227928 8038887.604729065, 589548.5318882155 8038928.299894456, 589588.0762353634 8038953.083830509, 589620.1738958983 8038955.882762631, 589651.4466667844 8038947.366345354, 589728.4586489254 8038884.062811283, 589871.6801363274 8038807.625785453, 590361.3745671767 8038606.914658867, 590422.598474911 8038640.162656219, 590493.6481653249 8038618.928300029, 590561.2947997928 8038618.842433489, 590922.7449736918 8038687.346649344, 590994.7087647365 8038680.600899025, 591055.2047287738 8038647.0203724755, 591111.6928314066 8038641.340673284, 591266.6266061997 8038692.856814263, 591560.5195764034 8038757.011648903, 591807.9971076695 8038734.297737543, 591906.7729413636 8038747.562762085, 592030.115032826 8038707.714544116, 592109.7978413296 8038696.392641986, 592169.9313058435 8038699.434126327, 592286.0862307543 8038733.418372284, 592395.2060393896 8038713.54995932, 592463.6977585417 8038689.775490634, 592580.2672492021 8038698.750114853, 592679.9606769383 8038749.626734742, 592710.9591221566 8038780.46352681, 592754.2405715263 8038853.288655163, 592826.4730287006 8038904.181668296, 592922.6505935226 8038951.090254499, 593062.1733149487 8038993.149024075, 593136.8767102733 8039073.3506771205, 593213.3460125967 8039122.89482682, 593364.773943858 8039148.1883367505, 593436.2445872677 8039194.325038489, 593484.2066210781 8039246.989187841, 593592.431369146 8039510.483613968, 593598.8454184445 8039770.140255831, 593649.5699200808 8039913.963609641, 593687.1483569052 8040193.722141343, 593756.3083239078 8040469.348980697, 593873.4149919391 8040635.210419588, 593917.461640342 8040756.271472446, 593995.5464932148 8040854.379069439, 594127.3071196186 8041113.555607557, 594211.01362961 8041368.753622184, 594267.7090603012 8041495.286638629, 594451.889764585 8041782.207284954, 594456.5325774155 8041822.128629034, 594448.0794460444 8041851.047279356, 594357.4884682234 8041957.80649527, 594320.1734982679 8042041.653401689, 594308.6935985659 8042067.466041554, 594291.3796061163 8042196.339938935, 594322.995898584 8042311.483999653, 594359.4436635941 8042371.724694732, 594412.8547491397 8042430.889359809, 594440.7490784102 8042447.199545702, 594550.6783868211 8042511.451903928, 594653.2815457172 8042589.414273113, 594728.4747400035 8042656.994722327, 594775.4469459566 8042722.163920179, 594821.4671016076 8042854.831758484, 594941.9790432709 8043130.100742669, 594991.3320787451 8043227.234961174, 595024.0148984717 8043280.034916094)"
